(624, 102, 170, 375, 730, 156, 542, 676)
(893, 292, 197, 358, 681, 163, 698, 910)
(1086, 324, 219, 266, 555, 178, 807, 1039)
(1185, 447, 249, 269, 390, 209, 1024, 1282)
(1201, 590, 249, 256, 331, 274, 1211, 1425)
(1223, 654, 246, 229, 299, 302, 1219, 1353)
(1217, 613, 242, 202, 303, 366, 1205, 1313)
(1135, 716, 243, 224, 309, 423, 1300, 1316)
(1246, 698, 261, 192, 302, 415, 1200, 1130)
(1291, 687, 290, 182, 339, 403, 1081, 981)
(1193, 733, 317, 193, 377, 395, 1046, 980)
(1086, 786, 307, 194, 367, 327, 1083, 935)
(1116, 805, 279, 154, 351, 252, 1016, 835)
(1036, 894, 260, 165, 346, 246, 1003, 846)
(983, 881, 227, 172, 264, 205, 984, 839)
(1007, 850, 179, 160, 219, 169, 994, 892)
(968, 858, 177, 146, 224, 155, 935, 804)
(868, 765, 177, 145, 204, 126, 816, 769)
(674, 653, 145, 124, 184, 119, 751, 718)
(577, 584, 125, 123, 197, 105, 704, 606)
(484, 511, 157, 169, 192, 107, 577, 397)
(417, 389, 213, 344, 228, 120, 446, 363)
(332, 339, 220, 674, 257, 127, 384, 330)
(306, 237, 234, 923, 355, 139, 339, 238)
(227, 190, 244, 1037, 427, 153, 220, 198)
(173, 149, 263, 1185, 504, 183, 210, 120)
(136, 148, 324, 1282, 547, 253, 199, 113)
(102, 145, 373, 1246, 562, 252, 188, 96)
(96, 138, 392, 1167, 640, 302, 177, 87)
(86, 121, 402, 1207, 619, 316, 169, 88)
(71, 120, 413, 1148, 683, 323, 147, 78)
(58, 98, 338, 1136, 758, 300, 140, 72)
(53, 94, 313, 1250, 784, 386, 132, 70)
(51, 92, 288, 1323, 771, 375, 121, 63)
(56, 97, 275, 1304, 776, 374, 126, 61)
(51, 81, 231, 1293, 737, 363, 128, 59)
(54, 87, 237, 1229, 670, 348, 149, 63)
(49, 79, 193, 1085, 635, 255, 150, 59)
(47, 80, 172, 912, 666, 211, 267, 68)
(38, 74, 154, 752, 657, 177, 272, 65)
(45, 75, 143, 634, 613, 163, 297, 71)
(69, 74, 119, 516, 565, 138, 327, 112)
(349, 109, 120, 287, 546, 122, 408, 298)
(568, 138, 112, 190, 353, 119, 440, 397)
(745, 245, 122, 171, 308, 127, 563, 594)
(869, 346, 116, 136, 230, 175, 590, 685)
(972, 458, 111, 119, 179, 195, 778, 794)
