(76, 130, 45, 154, 68, 68, 242, 51)
(65, 107, 48, 228, 78, 70, 183, 49)
(62, 105, 68, 275, 101, 123, 168, 41)
(53, 73, 92, 317, 134, 260, 120, 37)
(42, 64, 112, 381, 170, 409, 94, 33)
(42, 67, 123, 377, 207, 503, 82, 37)
(42, 75, 169, 537, 247, 517, 74, 38)
(38, 79, 179, 576, 413, 509, 76, 40)
(41, 83, 182, 569, 561, 459, 85, 43)
(45, 87, 233, 701, 704, 333, 85, 50)
(48, 93, 239, 743, 730, 156, 103, 62)
(47, 84, 221, 701, 753, 114, 112, 70)
(49, 81, 239, 863, 703, 109, 127, 70)
(48, 74, 232, 910, 658, 119, 139, 67)
(45, 66, 180, 827, 535, 155, 160, 68)
(40, 56, 180, 814, 519, 162, 174, 56)
(44, 61, 187, 854, 498, 162, 171, 51)
(44, 61, 152, 684, 463, 165, 168, 55)
(42, 67, 165, 672, 399, 150, 207, 62)
(41, 67, 172, 765, 413, 120, 224, 61)
(43, 66, 160, 781, 432, 113, 251, 69)
(38, 61, 141, 675, 439, 107, 302, 73)
(53, 66, 136, 649, 440, 94, 317, 77)
(85, 82, 112, 587, 429, 91, 364, 88)
(128, 179, 82, 388, 361, 79, 412, 97)
(347, 308, 68, 271, 288, 65, 459, 150)
(436, 416, 60, 222, 215, 54, 502, 201)
(567, 490, 59, 157, 200, 59, 530, 313)
(595, 530, 68, 138, 134, 60, 569, 338)
(679, 609, 68, 117, 135, 72, 700, 455)
(685, 687, 87, 105, 129, 91, 742, 460)
(675, 723, 104, 114, 136, 136, 788, 461)
(646, 739, 103, 111, 147, 231, 888, 428)
(675, 807, 119, 111, 141, 249, 952, 439)
(608, 781, 125, 108, 181, 248, 991, 341)
(546, 782, 131, 113, 196, 247, 1054, 386)
(503, 761, 118, 104, 210, 226, 1015, 387)
(435, 724, 123, 110, 204, 126, 939, 387)
(365, 645, 105, 106, 208, 95, 882, 384)
(351, 601, 98, 103, 182, 95, 721, 381)
(298, 499, 76, 101, 172, 85, 554, 319)
(296, 428, 85, 109, 142, 87, 587, 326)
(254, 400, 88, 130, 150, 84, 546, 280)
(217, 352, 89, 193, 166, 103, 442, 231)
(165, 325, 119, 453, 153, 114, 424, 198)
(147, 232, 123, 582, 191, 115, 384, 176)
(112, 165, 177, 805, 244, 125, 225, 88)
(81, 132, 239, 985, 343, 128, 208, 78)
(79, 124, 307, 1157, 528, 111, 210, 73)
(81, 132, 346, 1255, 677, 106, 184, 73)
(95, 154, 461, 1482, 830, 127, 193, 83)
(97, 167, 507, 1488, 942, 127, 206, 87)
(94, 171, 525, 1480, 988, 285, 208, 85)
(90, 174, 536, 1420, 933, 342, 200, 83)
(85, 174, 535, 1360, 947, 382, 182, 78)
(70, 160, 491, 1261, 915, 727, 161, 68)
(62, 148, 498, 1339, 830, 767, 177, 68)
(64, 141, 469, 1301, 762, 760, 187, 72)
(63, 134, 427, 1333, 758, 736, 207, 74)
(63, 118, 405, 1287, 669, 716, 221, 73)
(63, 111, 347, 1110, 529, 355, 240, 73)
(64, 96, 230, 848, 458, 253, 280, 73)
(216, 105, 190, 727, 409, 96, 286, 103)
(338, 312, 160, 487, 337, 84, 386, 192)
(516, 416, 130, 353, 211, 72, 539, 269)
(642, 530, 122, 240, 165, 73, 642, 562)
(725, 671, 113, 197, 184, 77, 682, 633)
(728, 723, 113, 152, 196, 79, 819, 685)
(698, 765, 113, 137, 212, 73, 892, 745)
(668, 928, 151, 120, 203, 80, 887, 737)
(612, 945, 154, 115, 223, 90, 927, 586)
(613, 1000, 165, 108, 217, 92, 931, 546)
(607, 1017, 179, 109, 264, 100, 843, 523)
(629, 961, 187, 109, 276, 102, 891, 483)
(570, 766, 151, 103, 277, 95, 904, 519)
(537, 678, 136, 106, 279, 89, 851, 566)
(498, 463, 127, 108, 275, 82, 829, 572)
(484, 355, 101, 103, 225, 69, 822, 550)
(435, 303, 81, 100, 191, 66, 649, 487)
(390, 280, 94, 241, 185, 59, 531, 422)
(346, 268, 129, 319, 167, 54, 434, 293)
(215, 201, 155, 465, 221, 54, 374, 198)
(143, 134, 170, 523, 258, 52, 297, 116)
(116, 120, 192, 689, 408, 58, 239, 88)
(102, 119, 190, 769, 434, 69, 200, 72)
(84, 90, 212, 916, 488, 77, 156, 73)
(71, 87, 249, 1055, 514, 76, 141, 67)
(67, 87, 269, 1163, 760, 76, 143, 68)
(72, 86, 321, 1185, 814, 79, 164, 68)
(66, 87, 347, 1254, 887, 121, 148, 65)
(64, 87, 349, 1238, 911, 141, 141, 54)
(66, 87, 323, 1128, 921, 148, 138, 56)
(63, 86, 304, 1022, 742, 161, 158, 58)
(53, 81, 263, 1032, 643, 161, 140, 53)
(47, 73, 229, 895, 596, 131, 143, 48)
(48, 70, 203, 817, 520, 107, 157, 51)
(43, 62, 185, 761, 462, 96, 171, 47)
(38, 56, 177, 727, 431, 70, 156, 46)
(43, 61, 123, 510, 377, 66, 263, 57)
(142, 151, 109, 439, 231, 66, 348, 125)
(356, 300, 73, 276, 201, 63, 447, 408)
(437, 534, 71, 190, 176, 66, 545, 602)
(527, 568, 68, 142, 144, 69, 610, 678)
(597, 655, 92, 120, 135, 73, 661, 747)
(632, 655, 98, 102, 134, 68, 723, 777)
(580, 646, 107, 98, 155, 70, 798, 704)
(538, 520, 106, 94, 163, 78, 778, 622)
(493, 552, 112, 95, 165, 75, 832, 589)
(534, 480, 98, 85, 166, 81, 874, 580)
(548, 529, 103, 82, 162, 83, 940, 573)
(549, 484, 99, 85, 152, 84, 915, 579)
(541, 460, 94, 82, 156, 73, 904, 538)
(546, 431, 87, 82, 166, 76, 868, 514)
(455, 400, 84, 83, 157, 65, 766, 474)
(364, 318, 69, 81, 153, 62, 639, 478)
(320, 318, 59, 75, 142, 55, 572, 450)
(311, 282, 61, 90, 123, 52, 545, 408)
(228, 184, 87, 132, 138, 49, 493, 374)
(158, 169, 95, 153, 139, 45, 494, 302)
(152, 136, 112, 266, 141, 45, 416, 192)
(88, 94, 117, 320, 143, 48, 349, 116)
(74, 76, 139, 405, 156, 56, 317, 94)
(71, 73, 138, 504, 162, 60, 235, 66)
(52, 72, 166, 580, 186, 65, 197, 62)
(51, 72, 208, 799, 199, 69, 181, 65)
(48, 70, 212, 857, 222, 77, 123, 54)
(46, 61, 223, 963, 234, 79, 127, 53)
(40, 62, 233, 1034, 296, 75, 102, 48)
(39, 63, 237, 1041, 356, 75, 102, 47)
(35, 58, 205, 936, 418, 71, 93, 43)
(35, 62, 221, 989, 458, 63, 87, 41)
(35, 63, 203, 900, 454, 57, 74, 40)
(38, 68, 207, 869, 429, 62, 79, 43)
(36, 57, 183, 894, 385, 58, 71, 38)
(33, 57, 174, 839, 331, 59, 67, 36)
(34, 48, 145, 757, 286, 57, 66, 38)
(35, 54, 144, 735, 280, 62, 69, 39)
(34, 45, 112, 668, 288, 62, 61, 35)
(35, 46, 109, 617, 285, 60, 108, 39)
(35, 46, 112, 668, 286, 59, 113, 41)
(32, 52, 125, 705, 294, 60, 127, 47)
(31, 45, 117, 682, 299, 54, 176, 52)
(29, 44, 108, 623, 270, 50, 241, 64)
(33, 54, 134, 672, 306, 56, 260, 69)
(37, 61, 130, 595, 282, 58, 270, 71)
(155, 92, 125, 467, 240, 81, 319, 78)
(353, 186, 126, 450, 231, 85, 346, 120)
(451, 227, 127, 439, 221, 93, 436, 151)
(588, 422, 116, 226, 149, 104, 459, 231)
(712, 506, 114, 195, 199, 110, 596, 492)
(740, 619, 119, 160, 204, 105, 680, 559)
(795, 683, 125, 137, 210, 117, 810, 659)
(774, 718, 128, 109, 223, 114, 882, 711)
(734, 656, 111, 91, 214, 107, 902, 730)
(662, 691, 131, 95, 171, 108, 894, 694)
(642, 615, 132, 91, 168, 103, 886, 684)
(522, 594, 133, 90, 168, 100, 829, 752)
(500, 563, 132, 88, 177, 103, 843, 726)
(446, 553, 144, 85, 197, 100, 898, 719)
(393, 489, 138, 83, 198, 93, 921, 654)
(390, 474, 133, 80, 194, 87, 910, 644)
(388, 400, 122, 76, 187, 76, 886, 516)
(402, 393, 128, 71, 160, 70, 791, 522)
(405, 361, 115, 67, 138, 65, 765, 479)
(459, 323, 121, 66, 127, 65, 706, 448)
(455, 336, 121, 65, 132, 70, 717, 424)
(431, 337, 128, 61, 134, 68, 675, 368)
(404, 312, 126, 68, 123, 63, 654, 321)
(389, 315, 120, 92, 123, 67, 573, 350)
(317, 273, 114, 114, 157, 61, 499, 323)
(266, 219, 132, 259, 169, 60, 364, 286)
(221, 173, 174, 466, 218, 56, 343, 215)
(197, 165, 212, 606, 296, 57, 265, 173)
(134, 137, 264, 756, 353, 56, 230, 80)
(83, 113, 297, 892, 390, 61, 211, 76)
(82, 110, 329, 1038, 493, 70, 208, 72)
(86, 122, 377, 1212, 639, 90, 185, 74)
(87, 129, 439, 1326, 720, 111, 180, 73)
(87, 124, 451, 1344, 813, 131, 155, 65)
(84, 124, 459, 1324, 874, 155, 163, 66)
(79, 118, 462, 1322, 930, 158, 175, 67)
(60, 105, 446, 1277, 868, 156, 189, 64)
(50, 90, 428, 1157, 863, 156, 189, 64)
(52, 97, 441, 1291, 907, 161, 201, 70)
(52, 100, 416, 1341, 847, 145, 204, 68)
(46, 106, 412, 1271, 744, 134, 231, 68)
(53, 108, 380, 1168, 744, 132, 236, 68)
(52, 97, 314, 1176, 661, 124, 235, 66)
(47, 96, 269, 967, 516, 105, 248, 59)
(47, 98, 282, 973, 530, 106, 294, 63)
(45, 90, 240, 934, 539, 115, 272, 63)
(39, 87, 237, 938, 528, 111, 291, 69)
(39, 89, 224, 865, 567, 107, 392, 75)
(38, 82, 171, 789, 506, 98, 420, 82)
(39, 82, 124, 559, 465, 90, 414, 83)
(77, 96, 103, 494, 416, 81, 427, 95)
(239, 129, 62, 256, 332, 77, 439, 127)
(495, 209, 58, 174, 215, 77, 408, 234)
(576, 260, 59, 144, 165, 74, 470, 306)
(687, 378, 57, 97, 139, 73, 470, 427)
(734, 420, 63, 83, 146, 73, 552, 470)
(723, 485, 73, 82, 146, 76, 564, 485)
(604, 522, 81, 71, 143, 83, 558, 498)
(584, 543, 99, 69, 154, 86, 624, 545)
(508, 548, 106, 77, 179, 95, 745, 541)
(472, 555, 103, 77, 185, 99, 771, 513)
(474, 551, 104, 70, 197, 97, 814, 522)
(572, 502, 114, 87, 187, 85, 873, 508)
(643, 466, 102, 92, 205, 87, 902, 472)
(723, 447, 98, 97, 201, 79, 870, 442)
(743, 489, 120, 99, 211, 70, 863, 537)
(746, 478, 120, 99, 203, 70, 926, 628)
(733, 563, 145, 96, 261, 79, 885, 672)
(701, 584, 178, 91, 263, 75, 841, 706)
(622, 571, 191, 101, 256, 75, 827, 710)
(598, 528, 183, 101, 252, 82, 817, 670)
(614, 493, 178, 101, 281, 79, 720, 593)
(540, 400, 151, 94, 249, 74, 721, 521)
(451, 424, 112, 94, 220, 75, 680, 443)
(389, 370, 94, 129, 237, 70, 621, 376)
(354, 322, 97, 165, 234, 63, 525, 312)
(256, 299, 115, 238, 201, 63, 459, 249)
(192, 266, 129, 299, 198, 57, 382, 217)
(157, 124, 143, 374, 215, 56, 270, 158)
(129, 94, 168, 453, 209, 64, 198, 127)
(92, 87, 181, 551, 304, 64, 192, 108)
(81, 89, 199, 660, 317, 72, 170, 93)
(77, 82, 209, 709, 344, 83, 161, 82)
(66, 83, 231, 848, 391, 97, 133, 73)
(60, 83, 230, 950, 397, 104, 159, 71)
(57, 102, 227, 959, 333, 127, 172, 63)
(54, 101, 229, 945, 370, 130, 183, 61)
(51, 103, 233, 1030, 366, 145, 184, 62)
(50, 102, 209, 981, 346, 166, 205, 62)
(51, 93, 201, 993, 341, 171, 189, 58)
(41, 74, 194, 986, 341, 181, 185, 57)
(38, 67, 170, 998, 304, 185, 183, 54)
(37, 69, 152, 916, 285, 177, 204, 54)
(39, 68, 144, 873, 281, 155, 184, 52)
(36, 81, 138, 784, 297, 149, 180, 52)
(37, 115, 150, 785, 297, 126, 172, 51)
(35, 136, 142, 710, 272, 114, 167, 48)
(36, 138, 132, 700, 278, 103, 161, 51)
(34, 142, 133, 672, 250, 97, 146, 48)
(35, 148, 131, 640, 236, 101, 142, 46)
(33, 132, 106, 566, 223, 88, 135, 44)
(34, 136, 103, 532, 231, 92, 175, 52)
(50, 137, 96, 447, 203, 87, 161, 47)
(92, 178, 84, 381, 177, 87, 282, 74)
(145, 231, 61, 235, 143, 82, 324, 122)
(286, 254, 60, 178, 134, 85, 379, 473)
(424, 301, 58, 152, 140, 91, 471, 618)
(591, 350, 75, 120, 164, 104, 613, 715)
(724, 430, 78, 126, 173, 111, 637, 813)
(761, 443, 82, 123, 183, 114, 685, 878)
(753, 477, 88, 113, 185, 114, 772, 805)
(720, 466, 97, 117, 194, 113, 901, 787)
(620, 468, 88, 122, 188, 124, 836, 762)
(493, 463, 100, 123, 200, 139, 868, 690)
(472, 522, 111, 129, 226, 133, 962, 683)
(530, 522, 114, 137, 270, 150, 984, 709)
(545, 566, 112, 141, 275, 151, 908, 676)
(527, 572, 123, 140, 267, 145, 916, 633)
(590, 538, 115, 154, 268, 133, 907, 646)
(619, 583, 116, 155, 257, 142, 869, 613)
(549, 580, 117, 154, 222, 137, 813, 533)
(523, 547, 114, 142, 201, 130, 744, 465)
(527, 515, 101, 138, 199, 118, 744, 444)
(416, 489, 98, 110, 189, 109, 685, 384)
(306, 321, 96, 142, 172, 92, 536, 297)
(266, 249, 96, 196, 191, 67, 429, 249)
(186, 174, 115, 269, 216, 72, 387, 215)
(113, 152, 147, 351, 225, 81, 307, 183)
